"";"TALHAO_PAR";"b0";"b1";"Rsqr";"Std.Error"
"3662_112";"3662_112";3,70825854611306;-7,09082952045926;0,648430551742617;0,0164358830405538
"3662_113";"3662_113";4,01879553152659;-12,5676710283814;0,747343421879054;0,0194885692222682
"3662_114";"3662_114";3,73004634550171;-7,66666094373326;0,315156167202316;0,0168347484924947
"3662_115";"3662_115";3,49031443687643;-3,61965311369065;0,284848673880785;0,0191209031920311
"3662_116";"3662_116";3,67751743467405;-7,19550903703171;0,166151673424488;0,0328995187508115
"3662_117";"3662_117";3,39892917686301;-1,80452010792669;-0,0592906746200272;0,0337827264046859
"3662_118";"3662_118";3,99758710136389;-12,6810698622829;0,158931936058338;0,076844763779589
"3662_119";"3662_119";4,46885524082437;-22,3088682221731;0,677210319718921;0,0592787443284593
"3662_120";"3662_120";3,7035604088153;-7,66702683931996;0,707194557786586;0,0151009443777149
"3662_121";"3662_121";4,25848811453053;-16,8590960616502;0,855845700745928;0,0186268801716888
"3663_101";"3663_101";3,69345162353191;-6,65515350222319;0,498045962902832;0,0178247809529631
"3663_102";"3663_102";3,96717934476126;-11,3674362189808;0,900906801167383;0,0199338408754173
"3663_103";"3663_103";3,75574319331671;-7,59206415360821;0,488836250343034;0,0237586168066043
"3663_104";"3663_104";3,57080901638591;-4,52098979459633;0,44032230868809;0,0245046805094995
"3663_105";"3663_105";3,51152704875618;-3,90269186181072;0,0618754296755938;0,024199013131377
"3663_106";"3663_106";3,50320118569022;-3,56362905225894;0,0984656397177093;0,0202333896134976
"3663_107";"3663_107";3,59616604516383;-5,37323683965805;0,248732874265034;0,0282789057368238
"3663_108";"3663_108";3,4918729802446;-3,19830618059733;0,108479291301116;0,0165005293462313
"3663_109";"3663_109";3,50928858342632;-3,41809918800043;0,000544940133250349;0,0248414833259046
"3663_110";"3663_110";3,38552879267508;-1,916804299386;0,0614391047518605;0,027811909283701
"3663_111";"3663_111";3,64542267917;-6,41174407616212;0,0136249970578575;0,0354699415846074
"3663_112";"3663_112";3,3401526255462;-1,46451881564839;-0,070399401173866;0,0241427834254523
"3663_113";"3663_113";3,72837726596589;-8,19819570467402;0,692819780547012;0,0207369604062153
"3663_114";"3663_114";3,79532991915179;-9,8431347600104;0,719464104693714;0,0289018304212231
"3663_115";"3663_115";3,36061733796592;-3,10415611253814;-0,0453018974841592;0,0559980855160349
"3663_116";"3663_116";3,66970027605441;-8,51709837302429;0,25644825867808;0,0822205492043347
"3663_117";"3663_117";3,18053251996345;0,373733792263182;-0,165831184862022;0,0423790440259353
"3663_118";"3663_118";3,5224496965634;-6,51859531206376;0,327460971890925;0,0451649047089063
