"","TALHAO","PARCELA","COD_ARVORE","CAP","HT","CATEGORIA","HD","b0","b1","b2","Rsqr","Std.Error"
"1",3654,101,301,51.1,28.4,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"2",3654,101,303,50.8,0,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"3",3654,101,304,53.2,0,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"4",3654,101,503,50,0,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"5",3654,101,302,51.3,29,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"6",3654,101,401,54,0,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"7",3654,101,402,56.4,0,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"8",3654,101,403,55.8,0,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"9",3654,101,204,53.2,28.8,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"10",3654,101,405,59,30.2,"Dominante",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"11",3654,101,501,48.3,0,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"12",3654,101,502,40.5,0,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"13",3654,101,305,45.5,0,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"14",3654,101,404,0,0,"Falha",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"15",3654,101,101,51,29.2,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"16",3654,101,201,59.3,30.7,"Dominante",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"17",3654,101,203,54,28.7,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"18",3654,101,202,56.6,30.6,"Normal",30.45,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"19",3654,102,102,0,0,"Falha",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"20",3654,102,103,0,0,"Falha",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"21",3654,102,201,54,29.7,"Normal",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"22",3654,102,101,58.9,32.5,"Normal",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"23",3654,102,401,24.2,0,"Bifurcadaabaixo1.30",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"24",3654,102,401,49,0,"Outros Fustes",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"25",3654,102,402,29.7,0,"Bifurcadaabaixo1.30",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"26",3654,102,402,50.2,0,"Outros Fustes",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"27",3654,102,403,50.9,0,"Normal",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"28",3654,102,202,53.6,28.9,"Normal",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"29",3654,102,203,0,0,"Falha",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
"30",3654,102,304,0,0,"Falha",31.35,0.759901530466231,-9.16004209526043,0.919013161926111,0.649462711016242,0.0363929045338028
