"","TALHAO","PARCELA","COD_ARVORE","CAP","HT","CATEGORIA","HD","b0","b1","Rsqr","Std.Error"
"1",3654,101,301,51.1,28.4,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"2",3654,101,303,50.8,0,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"3",3654,101,304,53.2,0,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"4",3654,101,503,50,0,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"5",3654,101,302,51.3,29,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"6",3654,101,401,54,0,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"7",3654,101,402,56.4,0,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"8",3654,101,403,55.8,0,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"9",3654,101,204,53.2,28.8,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"10",3654,101,405,59,30.2,"Dominante",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"11",3654,101,501,48.3,0,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"12",3654,101,502,40.5,0,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"13",3654,101,305,45.5,0,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"14",3654,101,404,0,0,"Falha",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"15",3654,101,101,51,29.2,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"16",3654,101,201,59.3,30.7,"Dominante",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"17",3654,101,203,54,28.7,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"18",3654,101,202,56.6,30.6,"Normal",30.45,3.8032575977371,-7.26954435535877,0.678026755891635,0.0174468354185494
"19",3654,102,102,0,0,"Falha",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"20",3654,102,103,0,0,"Falha",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"21",3654,102,201,54,29.7,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"22",3654,102,101,58.9,32.5,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"23",3654,102,401,24.2,0,"Bifurcadaabaixo1.30",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"24",3654,102,401,49,0,"Outros Fustes",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"25",3654,102,402,29.7,0,"Bifurcadaabaixo1.30",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"26",3654,102,402,50.2,0,"Outros Fustes",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"27",3654,102,403,50.9,0,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"28",3654,102,202,53.6,28.9,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"29",3654,102,203,0,0,"Falha",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"30",3654,102,304,0,0,"Falha",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"31",3654,102,305,54.1,29.2,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"32",3654,102,502,50.5,0,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"33",3654,102,404,53.5,0,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"34",3654,102,405,53.6,0,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"35",3654,102,501,54.4,0,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"36",3654,102,503,50.4,0,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"37",3654,102,302,55.5,29.7,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"38",3654,102,303,59.1,30.6,"Dominante",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"39",3654,102,204,57.7,29.8,"Normal",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"40",3654,102,301,60.8,32.1,"Dominante",31.35,4.17402298937511,-13.7504640595274,0.690768894170948,0.0239837635460625
"41",3654,103,204,0,0,"Falha",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"42",3654,103,304,59,29.8,"Dominante",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"43",3654,103,303,65.5,30.8,"Dominante",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"44",3654,103,501,53.5,0,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"45",3654,103,301,0,0,"Falha",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"46",3654,103,302,0,0,"Falha",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"47",3654,103,306,51.3,26.6,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"48",3654,103,401,24.5,0,"Dominada",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"49",3654,103,502,55.4,0,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"50",3654,103,503,54.6,0,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"51",3654,103,404,58.4,0,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"52",3654,103,405,53.5,0,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"53",3654,103,201,52.4,29.5,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"54",3654,103,305,52.8,28.6,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"55",3654,103,203,0,0,"Falha",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"56",3654,103,101,0,0,"Falha",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"57",3654,103,102,58.9,31.6,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"58",3654,103,202,54.2,30,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"59",3654,103,403,56.1,27.8,"Normal",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
